1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
265, 897, 【パジャマ】好魅ちゃん, ぱじゃま よしみちゃん, 双生 好魅, HR, 束縛, すきんしっぱー, 自, 狂乱, 大, 小悪魔的インサイド, ガチャ限定, 4, パジャマパーティーガチャ, 2015-09-29, 20-265
266, 901, 【パジャマ】好愛ちゃん, ぱじゃま よしめちゃん, 双生 好愛, HR, 依存, 癒やし, 敵全, 攻DOWN, 大, 愛され妄想ドール, ガチャ限定, 4, パジャマパーティーガチャ, 2015-09-29, 20-266
267, 905, むきむきエロやん, むきむきえろやん, 絵路 創, HR, 無属, 変態, 自, 防UP, 大, 昂ぶるマッドハート, イベント, 4, 喝！筋肉神との対話への道, 2015-09-29, 20-267
268, 909, 黒聖 咲, くろひじり さき, 黒聖 咲, HR, 狂気, 腹黒, 敵全, 防DOWN, 大, 信仰心の強制, バトル報酬, 4, 2015年10月バトルコンプ, 2015-10-01, 20-268
269, 913, 局根 鳴子, つぼね めいこ, 局根 鳴子, R, 執着, 腹黒, 全, 狡猾, 小, 報われることのないラブ＆パージ, イベント, 4, 狂気の胎動～追憶編～, 2015-10-15, 20-269
270, 917, 幻々 結由, ゆめゆめ ゆゆ, 絵路 結由(幻々 結由), R, 狂気, 献身, 全, 攻UP, 中, 貴方のためのプロテクト, イベント, 4, 狂気の胎動～追憶編～, 2015-10-15, 20-270
271, 921, 情無き姉妹、茅音と彩音, じょうなきしまい かやねとあやね, N/A, R, 束縛, 怪奇, 全, 狂乱, 小, 始まりのコンバージ, イベント報酬, 1, 狂気の胎動～追憶編～, 2015-10-26, 20-271
272, 922, 忌家 茅音, いけ かやね, 忌家 茅音, HR, 狂気, 怪奇, 全, 狂乱, 大, 溺れるインサニティ, ガチャ限定, 4, 狂気の胎動～追憶編～, 2015-10-15, 20-272
273, 926, 忌家 彩音, いけ あやね, 忌家 彩音, HR, 狂気, 清楚, 自, 防UP, 大, 愛おしいほどに狂おしく, ガチャ限定, 4, 狂気の胎動～追憶編～, 2015-10-15, 20-273
274, 930, 深策 令, ふかさく れい, 深策 令, HR, 執着, 癒やし, 全, 狡猾, 中, ダウトに私は背を向ける, イベント報酬, 4, 狂気の胎動～追憶編～, 2015-10-26, 20-274
275, 934, 【ブルマ】木野 彩実, ぶるま きの あやみ, 木野 彩実, R, 束縛, 清楚, 敵全, 攻DOWN, 中, おしっこ弁当ラブラブあ～ん, 探索, 4, 通常探索エリア8, 2015-11-05, 20-275
276, 938, 【ブルマ】柚子峰 色羽, ぶるま ゆずみね いろは, 柚子峰 色羽, R, 束縛, 癒やし, 自, 防UP, 中, さびしんぼロンリネス, 探索, 4, 通常探索エリア8, 2015-11-05, 20-276
277, 942, 【ブルマ】仁科 香澄, ぶるま にしな かすみ, 仁科 香澄, R, 狂気, 凶暴, 自, 狂乱, 中, もぉいぃかいぃ？もぉいぃよねぇぇ？, 探索, 4, 通常探索エリア8, 2015-11-05, 20-277
278, 946, 【吸血鬼】猫女, きゅうけつき ねこめ, 叉多火 猫女, R, 執着, すきんしっぱー, 全, 防UP, 中, マタタビワインで発情ぱーちー, イベント, 4, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-10-29, 20-278
279, 950, 【ゴーストハンター】夏帆, ごーすとはんたー かほ, 稀空 夏帆, R, 狂気, ドジ, 敵, 防DOWN, 中, 吸引力の変わらないバキュームフィーリング, イベント, 4, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-10-29, 20-279
280, 954, 【追走vs逃走】猫女＆夏帆, ついそうとうそう ねこめ・かほ, N/A, R, 依存, 活発, 自, 狂乱, 中, UMA発見！？終わらない逃走劇, イベント報酬, 1, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-11-09, 20-280
281, 955, 【JCランタン】ニーナ, じぇーしーらんたん にーな, 双蓮ニーナ, HR, 狂気, 甘えん坊, 敵, 攻DOWN, 大, オカシテクレナキャイタズラシチャウゾ？, イベント, 4, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-10-29, 20-281
282, 959, 【ヴァンパイア】芳味, ゔぁんぱいあ よしみ, 甘依 芳味, HR, 依存, 凶暴, 敵全, 防DOWN, 大, 噛み噛みヴァンパイア, イベント, 4, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-10-29, 20-282
283, 963, 【フランケン】香樹, ふらんけん きょうじゅ, 葉加瀬 香樹, HR, 依存, 献身, 自, 防UP, 大, 発見！う゛ぃくたーめも, イベント報酬, 4, TRICK or YANDERE～みんな、きれいだった、かそうたいかい～, 2015-11-09, 20-283
284, 967, 【お祭】卜巳 風深, おまつり うらみ ふうか, 卜巳 風深, HR, 束縛, 狡猾, 敵, 攻DOWN, 大, 破裂・炸裂・邪魔者パーン, 探索, 4, 月曜特別探索, 2016-01-18, 20-284
285, 971, 【生きてる】楓 穂香, いきてる かえで ほのか, 楓 穂香, R, 狂気, 清楚, 敵, 攻DOWN, 中, そこにあった母親のぬくもり, イベント, 4, 狂気の胎動～終始編～, 2015-11-12, 20-285
286, 975, 狂った愛情の果てでも, くるったあいじょうのはてでも, N/A, R, 狂気, 逆襲, 自, 狂乱, 中, 愛情は永久に深まって, イベント報酬, 1, 狂気の胎動～終始編～, 2015-11-23, 20-286
287, 976, 狂衣 誉, くるい ほまれ, 狂衣 誉, HR, 狂気, 乱暴, 全, 狂乱, 中, ご主人様の命令, イベント, 4, 狂気の胎動～終始編～, 2015-11-12, 20-287
288, 980, 仁科 愛泉, にしな あいみ, 仁科 愛泉, HR, 狂気, 献身, 全, 防UP, 中, 来世で愛してくれる約束, イベント, 4, 狂気の胎動～終始編～, 2015-11-12, 20-288
289, 984, 【狂母】忌家 彩音, きょうぼ いけ あやね, 忌家 彩音, HR, 狂気, 抑圧ちゃん, 自, 狂乱, 大, 私の想いは呪いとなって, イベント, 4, 狂気の胎動～終始編～, 2015-11-12, 20-289
290, 988, 【狂乱】忌家 茅音, きょうらん いけ かやね, 忌家 茅音, HR, 狂気, 陰湿, 敵全, 攻DOWN, 大, 掻き乱す狂気の奏, イベント報酬, 4, 狂気の胎動～終始編～, 2015-11-23, 20-290
291, 992, 【猪狩】倉橋 祐未, ぶたがり くらはし ゆみ, 倉橋 祐未, HR, 束縛, 凶暴, 自, 攻UP, 中, ブタ狩りセンセーション, バトル報酬, 4, 2015年11月バトルコンプ, 2015-11-02, 20-291
292, 996, 【家庭】鳴神 真理, かてい なるかみ まり, 鳴神 真理, R, 執着, 清楚, 敵全, 攻DOWN, 中, グツグツ煮込めるラブリーカレー, ガチャ限定, 4, ありがとう！ドキドキ病んでミック1周年記念ガチャ, 2015-11-05, 20-292
293, 1000, 【儀式】里中 秋穂, ぎしき さとなか あきほ, 里中 秋穂, R, 狂気, 淫乱, 自, 狂乱, 中, 悪魔性戯レッツトライ, ガチャ限定, 4, ありがとう！ドキドキ病んでミック1周年記念ガチャ, 2015-11-05, 20-293
294, 1004, 【堕落】九十九 瞳, だらく つくも ひとみ, 九十九 瞳, R, 依存, 狡猾, 自, 攻UP, 中, 堕落した清い心, イベント, 4, さよなら幸せまたきて不幸, 2016-04-14, 20-294
295, 1008, 【棋士】淀川 錬, きし よどかわ れん, 淀川 錬, R, 依存, 抑圧ちゃん, 自, 防UP, 中, 神なる一手は君によって, ガチャ限定, 4, ありがとう！ドキドキ病んでミック1周年記念ガチャ, 2015-11-05, 20-295
296, 1012, 【安心】柚子峰 色羽, あんしん ゆずみね いろは, 柚子峰 色羽, HR, 束縛, すきんしっぱー, 敵全, 攻DOWN, 大, 寂しん坊プリズン, ガチャ限定, 4, ありがとう！ドキドキ病んでミック1周年記念ガチャ, 2015-11-05, 20-296
297, 1016, 儚井 祈, はかない いのり, 儚井 祈, HR, 依存, 甘えん坊, 自, 攻UP, 大, この人生はあなたの為に, ガチャ限定, 4, ありがとう！ドキドキ病んでミック1周年記念ガチャ, 2015-11-05, 20-297
298, 1020, 際見 笑見, きわみ えみ, 際見 笑見, HR, 執着, 陰湿, 敵, 防DOWN, 大, チラチラ覗き見ストーキング, バトル報酬, 4, 2015年12月バトルコンプ, 2015-12-02, 20-298
299, 1024, 誘惑の真子さん, ゆうわくのまこさん, 守石 真子, HR, 依存, 怪奇, 全, 狡猾, 大, エロい身体でおあずけまこさん, ガチャ限定, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-03, 20-299
300, 1028, ゴミ漁りの久留美, ごみあさりのくるみ, 黒井 久留美, R, 執着, 変態, 自, 防UP, 中, 漁ってゲット★トレジャーハント, イベント, 4, 書く！渡す！書く！貰う！, 2015-11-26, 20-300
301, 1032, 森悠 友結, もりはる ゆうき, 森悠 友結, R, 依存, 逆襲, 敵, 防DOWN, 中, 暗転フレンドシップ, イベント, 4, 書く！渡す！書く！貰う！, 2015-11-26, 20-301
302, 1036, 【ズッ友】綴＆友結, ずっとも つづり・ゆうき, N/A, R, 束縛, 抑圧ちゃん, 敵全, 攻DOWN, 小, 連鎖するトライアングル, イベント報酬, 1, 書く！渡す！書く！貰う！, 2015-12-07, 20-302
303, 1037, 書々 綴, かきがき つづり, 書々 綴, HR, 執着, 癒やし, 自, 防UP, 大, 伝わらない想い、伝えたい愛情, イベント, 4, 書く！渡す！書く！貰う！, 2015-11-26, 20-303
304, 1041, 【ブロガー】泉さん, ぶろがー いずみさん, 星河 泉, HR, 依存, 変態, 全, 狂乱, 中, カリスマ・バイブロガー, イベント, 4, 書く！渡す！書く！貰う！, 2015-11-26, 20-304
305, 1045, 捜査中、一色 久遠, そうさちゅう、ひとしき くおん, 一色 久遠, HR, 執着, 抑圧ちゃん, 敵, 防DOWN, 大, 判決！絶対正義による制裁, イベント報酬, 4, 書く！渡す！書く！貰う！, 2015-12-07, 20-305
306, 1049, 【クリスマス】主羽 依夜, くりすます ぬしはね いよ, 主羽 依夜, R, 執着, ツンデレ, 敵, 防DOWN, 中, あなたのサンタは私だけっ！, イベント, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-306
307, 1053, 柊 和聖, ひいらぎ あいせ, 柊 和聖, R, 束縛, 甘えん坊, 敵, 攻DOWN, 中, サンタ消失メモリアル, イベント, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-307
308, 1057, 【激突】小鈴＆香澄, げきとつ こすず・かすみ, N/A, R, 執着, ぷんぷん, 全, 狂乱, 小, 性夜の泥沼大合戦, イベント報酬, 1, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-21, 20-308
309, 1058, 【赤いクリスマス】小鈴, あかいくりすます こすず, 家鳴 小鈴, HR, 依存, 腹黒, 敵, 攻DOWN, 大, 性なる夜の赤い微笑, イベント, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-309
310, 1062, 【黒いサンタ】香澄ちゃん, くろいさんた かすみちゃん, 仁科 香澄, HR, 狂気, 凶暴, 自, 狂乱, 大, 悪い子撲滅★ブラックサンタ, イベント, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-310
311, 1066, 【サンタコス】好魅ちゃん, さんたこす よしみちゃん, 双生 好魅, HR, 束縛, すきんしっぱー, 敵全, 防DOWN, 中, 従順な性夜のデザイアー, ガチャ限定, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-311
312, 1070, 【サンタコス】好愛ちゃん, さんたこす よしめちゃん, 双生 好愛, HR, 依存, 癒やし, 全, 防UP, 中, プレゼントは手の内に, ガチャ限定, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-10, 20-312
313, 1074, 【ドSサンタ】柏木 縁, どえすさんた かしわぎ ゆかり, 柏木 縁, HR, 狂気, 抑圧ちゃん, 全, 狂乱, 中, 将来のプレパレーション, イベント報酬, 4, メリーシクマレテマス-小鈴のお兄ちゃん独り占め大作戦-, 2015-12-21, 20-313
314, 1078, 【デート】色羽, でーと いろは, 柚子峰 色羽, HR, 束縛, すきんしっぱー, 自, 防UP, 大, 孤独に苛まれるデスアトラクション, 特別報酬, 4, 2015年冬コミケ購入特典, 2015-12-29, 20-314
315, 1082, 狂気の好愛ちゃん, きょうきのよしめちゃん, 双生 好愛, HR, 依存, ぷんぷん, 敵, 防DOWN, 大, 受け継がれるピコリズム, 特別報酬, 4, 2015年冬コミケ購入特典, 2015-12-29, 20-315
316, 1086, 【弱】香澄, じゃくかすみ, 仁科 香澄, R, 依存, 逆襲, 自, 防UP, 中, 敗北と喪失の微光, イベント報酬, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2016-01-04, 20-316
317, 1090, 狂った、尾奈穂ちゃん, くるったおなほちゃん, ぐちょ濡れJK・尾奈穂, R, 依存, 淫乱, 全, 防UP, 中, 壊れゆくオナホリティ, イベント, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-26, 20-317
318, 1094, 【再狂】逆本 龍衣, さいきょう さかもと るい, 逆本 龍衣, R, 狂気, 凶暴, 自, 攻UP, 中, 再狂×最強, イベント, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-24, 20-318
319, 1098, 【錯乱】持田 睡蓮, さくらん もちだ すいれん, 持田 睡蓮, R, 執着, 狡猾, 自, 防UP, 中, 崩れるアイデンティティ, イベント, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-24, 20-319
320, 1102, つきまとう香澄ちゃん, つきまとう かすみちゃん, 仁科 香澄, HR, 執着, 乱暴, 全, 攻UP, 大, 捻じ曲げるタイムキーパー, イベント, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-24, 20-320
321, 1106, 【女】絵路 創, おんな かいろ そう, 絵路 創(女), HR, 狂気, 狡猾, 全, 防UP, 大, 惑い狂う眼鏡ガール, ガチャ限定, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-24, 20-321
322, 1110, 【ミニスカ】防人 兵華, みにすか さきもり ひょうか, 防人 兵華, HR, 束縛, 抑圧ちゃん, 全, 防UP, 中, 要塞デッドフィールド, イベント, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2015-12-24, 20-322
323, 1114, ピンクメイドの亞沙樹さん, ぴんくめいどのあさきさん, 桐皇 亞沙樹, HR, 狂気, 淫乱, 自, 攻UP, 大, メイド式精搾取法, イベント報酬, 4, つきまとう香澄～これまでのイベントが原因の模様～, 2016-01-04, 20-323
324, 1118, 【ツンツン】依夜ちゃん, つんつん いよちゃん, 主羽 依夜, HR, 執着, ツンデレ, 敵全, 防DOWN, 中, デレのないツン, バトル報酬, 4, 2016年01月バトルコンプ, 2016-01-04, 20-324
325, 1122, 夜戸裏 朱, やとり あかね, 夜戸裏 朱, R, 執着, 乱暴, 自, 狂乱, 中, 絶対合格！神の命！, ガチャ限定, 4, お正月限定ガチャ, 2016-01-01, 20-325
326, 1126, 亡刺 憐, なきざし あわれ, 亡刺 憐, R, 束縛, 献身, 敵, 防DOWN, 中, 纏わりつく想いの鎖糸, ガチャ限定, 4, お正月限定ガチャ, 2016-01-01, 20-326
327, 1130, 【神楽舞】夕成 小夜, かぐらまい ゆうなり さよ, 夕成 小夜, HR, 狂気, 乱暴, 敵全, 防DOWN, 大, 神の声、思考の解放。, ガチャ限定, 4, お正月限定ガチャ, 2016-01-01, 20-327
328, 1134, 【巫女】天野 りる, みこ あまの りる, 天野 りる, HR, 依存, 陰湿, 全, 狡猾, 大, ロリ神受胎の儀, ガチャ限定, 4, お正月限定ガチャ, 2016-01-01, 20-328
329, 1138, 【観察日誌】西山 乃絵, かんさつにっし にしやま のえ, 西山 乃絵, R, 依存, 陰湿, 敵全, 攻DOWN, 小, マーキング・オブ・観察日誌, イベント, 4, 臨床データ、case：澄下 恵令奈, 2016-01-07, 20-329
330, 1142, 【懺悔】井手迫 杏奈, ざんげ いでさこ あんな, 井手迫 杏奈, R, 狂気, 逆襲, 自, 攻UP, 中, 残響する呪言, イベント, 4, 臨床データ、case：澄下 恵令奈, 2016-01-07, 20-330
331, 1146, 橘 くるり, たちばな くるり, 橘 くるり, R, 執着, ぷんぷん, 自, 狂乱, 中, 友情のアンダーライン, イベント報酬, 2, 臨床データ、case：澄下 恵令奈, 2016-01-18, 20-331
332, 1148, 生まれ変わった二人, うまれかわったふたり, N/A, R, 束縛, 元気, 敵, 攻DOWN, 中, 進化するパラダイム, イベント報酬, 1, 臨床データ、case：澄下 恵令奈, 2016-01-18, 20-332
333, 1149, 澄下 恵令奈, すみした えれな, 澄下 恵令奈, HR, 執着, 清楚, 自, 狂乱, 大, 偽りの友情ごっこ, イベント, 4, 臨床データ、case：澄下 恵令奈, 2016-01-07, 20-333
334, 1153, 【病愛】灰汁締 舞李, びょうあい あくじめ まいり, 灰汁締 舞李, HR, 依存, 陰湿, 全, 狡猾, 中, 新校則発足・お前は私のもの, イベント, 4, 臨床データ、case：澄下 恵令奈, 2016-01-07, 20-334
335, 1157, 【イメチェン】黒井 久留美, いめちぇん くろい くるみ, 黒井 久留美, HR, 執着, 元気, 全, 攻UP, 中, 脱ヲタ！イメチェンコンバージョン, イベント報酬, 4, 臨床データ、case：澄下 恵令奈, 2016-01-18, 20-335
336, 1161, 【デレデレ】依夜ちゃん, でれでれ いよちゃん, 主羽 依夜, HR, 執着, 甘えん坊, 自, 防UP, 大, ツンのないデレ, イベント, 4, 臨床データ、case：澄下 恵令奈, 2016-01-07, 20-336
337, 1165, ぬるぬるイロハ, ぬるぬるいろは, 柚子峰 色羽, R, 束縛, すきんしっぱー, 自, 防UP, 中, ぬるぬるイロハはぞうしょくした, イベント, 4, ファイナル病物語Zターボ, 2016-01-21, 20-337
338, 1169, 【戦士】タツナミ, せんし たつなみ, 龍浪 杏子, R, 狂気, 乱暴, 自, 攻UP, 中, せんしのフルスイング, イベント, 4, ファイナル病物語Zターボ, 2016-01-21, 20-338
339, 1173, ゲーム登場キャラズ, げーむとうじょうきゃらず, N/A, R, 執着, 抑圧ちゃん, 全, 狂乱, 小, 宿命の対決(誤), イベント報酬, 1, ファイナル病物語Zターボ, 2016-02-01, 20-339
340, 1174, 【弱小勇者】カイロ・ソー, じゃくしょうゆうしゃ かいろ・そー, 絵路 創(女), HR, 依存, バカ, 全, 防UP, 大, 圧倒的！勇者シールド, イベント, 4, ファイナル病物語Zターボ, 2016-01-21, 20-340
341, 1178, 【最強魔王】アサキス, さいきょうまおう あさきす, 桐皇 亞沙樹, HR, 束縛, 逆襲, 敵全, 防DOWN, 大, アサキス・プンプン, ガチャ限定, 4, ファイナル病物語Zターボ, 2016-01-21, 20-341
342, 1182, はぐれニシナ【緑】, はぐれにしな みどり, 仁科 香澄, HR, 無属, 乱暴, 自, 狂乱, 小, ニシナライトニング【弱】, イベント報酬, 4, ファイナル病物語Zターボ, 2016-02-01, 20-342
343, 1186, はぐれニシナ【銀】, はぐれにしな ぎん, 仁科 香澄, HR, 無属, 乱暴, 自, 狂乱, 中, ニシナライトニング【銀】, イベント報酬, 4, ファイナル病物語Zターボ, 2016-02-01, 20-343
344, 1190, 【高位魔獣】はぐれニシナ, こういまじゅう はぐれにしな, 仁科 香澄, HR, 無属, 乱暴, 自, 狂乱, 大, ニシナライトニング【凶】, イベント報酬, 4, ファイナル病物語Zターボ, 2016-02-01, 20-344
345, 1194, 【挑戦】古院 誠, ちょうせん こいん まこと, 古院 誠, HR, 狂気, 凶暴, 自, 狂乱, 中, 狂うほどに、にじよめちゃんで, バトル報酬, 4, 2016年02月バトルコンプ, 2016-02-01, 20-345
346, 1198, 【怒られ願望】赤穂 菜々, おこられがんぼう あこう なな, 赤穂 菜々, R, 依存, バカ, 敵, 攻DOWN, 中, 怒られて愛されて, イベント, 4, 臨床データ、case：渓月 亜裏沙, 2016-02-04, 20-346
347, 1202, 【彫師】朝日 纏, ほりし あさひ まとい, 朝日 纏, R, 依存, 淫乱, 自, 防UP, 中, フルーツメイクは彼の味, イベント, 4, 臨床データ、case：渓月 亜裏沙, 2016-02-04, 20-347
348, 1206, 【恋堕】亜裏沙＆愛萌理, れんだ ありさ・あめり, N/A, R, 執着, 腹黒, 自, 狂乱, 小, セイブハート,セイブラブ, イベント報酬, 1, 臨床データ、case：渓月 亜裏沙, 2016-02-15, 20-348
349, 1207, 渓月 亜裏沙, けいげつ ありさ, 渓月 亜裏沙, HR, 執着, 陰湿, 敵全, 防DOWN, 大, 底なし沼の愛楽, イベント, 4, 臨床データ、case：渓月 亜裏沙, 2016-02-04, 20-349
350, 1211, 【記憶消去】結城 愛萌理, きおくしょうきょ ゆうき あめり, 結城 愛萌理, HR, 狂気, バカ, 全, 狂乱, 中, 夢から覚めるエロキャスター, イベント, 4, 臨床データ、case：渓月 亜裏沙, 2016-02-04, 20-350
351, 1215, 孤月 ひかげ, こづき ひかげ, 孤月 ひかげ, HR, 束縛, 甘えん坊, 敵, 攻DOWN, 中, 時計の針は静寂とともに…, イベント報酬, 4, 臨床データ、case：渓月 亜裏沙, 2016-02-15, 20-351
352, 1219, 砂糖 甘夢, さとう あむ, 砂糖 甘夢, R, 依存, 乱暴, 敵全, 防DOWN, 小, ショコラティエの甘い罠, ガチャ限定, 4, バレンタインガチャ, 2016-02-10, 20-352
353, 1223, 【プレゼント】ワス子, ぷれぜんと わすこ, ワス子, R, 依存, 献身, 敵全, 攻DOWN, 小, ワスれない、チョコに愛を込めて, ガチャ限定, 4, バレンタインガチャ, 2016-02-10, 20-353
354, 1227, 【争奪】香澄＆彩実, そうだつ かすみ・あやみ, N/A, R, 束縛, 逆襲, 全, 防UP, 小, バレンタイン戦争の記録, イベント, 1, バレンタインの夜に, 2016-02-18, 20-354
355, 1228, 【バレンタイン】香澄ちゃん, ばれんたいん かすみちゃん, 仁科 香澄, HR, 束縛, 活発, 全, 狂乱, 大, 待ち焦がれるブレイジングハート, ガチャ限定, 4, バレンタインガチャ, 2016-02-10, 20-355
356, 1232, 【おしっこボンボン】彩実ちゃん, おしっこぼんぼん あやみちゃん, 木野 彩実, HR, 束縛, 清楚, 全, 狡猾, 大, 秘密の隠し味・ボンボンチョコを召し上がれ♪, ガチャ限定, 4, バレンタインガチャ, 2016-02-10, 20-356
357, 1236, 越知無 銀子, おちなし ぎんこ, 越知無 銀子, R, 依存, 献身, 自, 防UP, 中, メダルの数だけ愛がある, イベント, 4, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-18, 20-357
358, 1240, パンチング、縁, ぱんちんぐ ゆかり, 柏木 縁, R, 狂気, ぷんぷん, 全, 狂乱, 小, 打ち込まれるドSパンチ, イベント, 4, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-18, 20-358
359, 1244, ゲーセン姫、美姫, げーせんひめ みき, 音女 美姫, R, 依存, 淫乱, 自, 防UP, 中, 物色！童貞センサー, イベント報酬, 2, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-29, 20-359
360, 1246, ゲーセンの姫たち, げーせんのひめたち, N/A, R, 依存, 献身, 自, 攻UP, 小, ゲー姫ダンシング, イベント報酬, 1, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-29, 20-360
361, 1247, 音女 美姫, おとめ みき, 音女 美姫, HR, 依存, 淫乱, 全, 防UP, 大, ゲー姫あまえんぼアクション, イベント, 4, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-18, 20-361
362, 1251, ダンス姫、ワス子, だんすひめ わすこ, ワス子, HR, 執着, すきんしっぱー, 自, 攻UP, 大, ぴかっ！とゲーセンステップ, イベント, 4, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-18, 20-362
363, 1255, 【覚醒する才能】芋里 はる, かくせいするさいのう いもさと はる, 芋里 はる, HR, 依存, 献身, 敵全, 攻DOWN, 中, 目覚めし田舎ムスメの才能, イベント報酬, 4, ゲーセン姫が僕のジョイスティックを↑↑↓↓左右, 2016-02-29, 20-363
364, 1259, 的外 陽論, まとはずし ぴろん, 的外 陽論, R, 狂気, 陰湿, 全, 攻UP, 小, ピロンッ！答えをどうぞ！, イベント, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-03, 20-364
365, 1263, 的外 火紺, まとはずし ぴこん, 的外 火紺, R, 執着, 元気, 全, 防UP, 小, ピコンッ！正解はこれだ！, イベント, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-03, 20-365
366, 1267, 救い無きおバカ達, すくいなきおばかたち, N/A, R, 狂気, バカ, 敵, 防DOWN, 中, 低能不毛なバカロワイヤル, イベント報酬, 1, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-14, 20-366
367, 1268, 坂上 不可子, さかあがり ふかこ, 坂上 不可子, HR, 執着, ツンデレ, 自, 攻UP, 大, 『あなた＝わたし』の方程式, イベント, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-03, 20-367
368, 1272, 能天気 空, のうてんき そら, 能天気 空, HR, 依存, バカ, 敵, 攻DOWN, 大, …えーっと、そうだひっさつ！, イベント, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-03, 20-368
369, 1276, 【バカ】星野 麻衣美, ばか ほしの まいみ, 星野 麻衣美, HR, 執着, バカ, 自, 狂乱, 中, 応援！殴援！邪魔するやつはポチッとな, イベント報酬, 4, 知能指数測定不能～深淵を覗く時、バカもまたこちらを覗いているのだ～, 2016-03-14, 20-369
370, 1280, 巡賭 羽花楽, めぐりがけ ばから, 巡賭 羽花楽, HR, 依存, 狡猾, 全, 狡猾, 中, カジノの女神イカサマディーラー, バトル報酬, 4, 2016年03月バトルコンプ, 2016-03-01, 20-370
371, 1284, 【頭脳は大人】音々ちゃん, ずのうはおとな ねねちゃん, 楽谷 音々, R, 依存, 変態, 敵, 攻DOWN, 中, イヒッ！溺れる着ぐるみベネフィット, イベント, 4, 貧乳デッドヒート！！, 2016-03-17, 20-371
372, 1288, 【生前】楓 飛鳥, せいぜん かえで あすか, 楓 飛鳥, R, 束縛, 清楚, 自, 攻UP, 中, 彼を思ってアソコがジュンッ！, イベント, 4, 貧乳デッドヒート！！, 2016-03-17, 20-372
373, 1292, 小さな世界の病ん娘たち, ちいさなせかいのやんむすたち, N/A, R, 執着, ぷんぷん, 敵, 防DOWN, 中, ロリ病みデッドヒート, イベント報酬, 1, 貧乳デッドヒート！！, 2016-03-28, 20-373
374, 1293, 【頭脳は大人】香澄ちゃん, ずのうはおとな かすみちゃん, 仁科 香澄, HR, 狂気, 乱暴, 敵全, 防DOWN, 大, ロリって増す増す恋病アバター, イベント, 4, 貧乳デッドヒート！！, 2016-03-17, 20-374
375, 1297, 【頭脳は大人】色羽ちゃん, ずのうはおとな いろはちゃん, 柚子峰 色羽, HR, 束縛, すきんしっぱー, 敵全, 攻DOWN, 大, さびちい！さびちい！さびちい！, イベント, 4, 貧乳デッドヒート！！, 2016-03-17, 20-375
376, 1301, 【頭脳は大人】アキちゃん, ずのうはおとな あきちゃん, 忘喰アキ, HR, 依存, 腹黒, 自, 狡猾, 中, ちん(新)スクープゲットでし！, イベント報酬, 4, 貧乳デッドヒート！！, 2016-03-28, 20-376
377, 1305, 小間使 ミコ, こまづかい みこ, 小間使 ミコ, R, 依存, 献身, 全, 防UP, 小, はいはいお待たせ！ご主人様っ！, イベント, 4, 御用の折りには私へ, 2016-04-02, 20-377
